Time,site,T°C_2,U_2,V_2,T°C_15,U_15,V_15,T°C_30,U_30,V_30,sat_chl,sat_secchi,label
2020-06-29 13:11:22,LEXPLORE,19.64,-0.064,0.035,13.47363636363636,-0.0523636363636363,0.0016363636363636,7.885999999999999,-0.0127999999999999,-0.0032,1.76,7.43,3
2020-07-01 10:11:20,LEXPLORE,20.12,-0.029,0.014,15.214545454545451,-0.0246363636363636,0.0009090909090909,7.837999999999998,0.004,-0.002,1.71,7.34,3
2020-07-01 11:11:14,LEXPLORE,20.12,-0.029,0.014,15.214545454545451,-0.0246363636363636,0.0009090909090909,7.837999999999998,0.004,-0.002,1.71,7.34,3
2020-07-01 12:11:15,LEXPLORE,20.12,-0.029,0.014,15.214545454545451,-0.0246363636363636,0.0009090909090909,7.837999999999998,0.004,-0.002,1.7,7.17,3
2020-07-01 13:11:28,LEXPLORE,20.46,-0.036,-0.008,13.769090909090906,0.0007272727272727,0.0020909090909091,7.447999999999999,0.0037999999999999,-0.001,1.7,7.17,3
2020-07-01 14:11:25,LEXPLORE,20.46,-0.036,-0.008,13.769090909090906,0.0007272727272727,0.0020909090909091,7.447999999999999,0.0037999999999999,-0.001,1.7,7.17,3
2020-07-01 15:11:14,LEXPLORE,20.46,-0.036,-0.008,13.769090909090906,0.0007272727272727,0.0020909090909091,7.447999999999999,0.0037999999999999,-0.001,1.7,7.17,3
2020-07-01 16:11:26,LEXPLORE,20.82,-0.036,0.0019999999999999,14.018181818181816,0.0087272727272727,0.0,7.411999999999999,0.0047999999999999,0.0027999999999999,1.7,7.17,3
2020-07-01 17:11:17,LEXPLORE,20.82,-0.036,0.0019999999999999,14.018181818181816,0.0087272727272727,0.0,7.411999999999999,0.0047999999999999,0.0027999999999999,1.7,7.17,3
2020-07-01 18:11:23,LEXPLORE,20.82,-0.036,0.0019999999999999,14.018181818181816,0.0087272727272727,0.0,7.411999999999999,0.0047999999999999,0.0027999999999999,1.7,7.17,3
2020-07-01 19:11:13,LEXPLORE,20.93,-0.021,0.007,14.422727272727268,0.0174545454545454,0.0075454545454545,7.517999999999999,0.0087999999999999,0.004,1.7,7.17,3
